timestamp,host,platform,git_commit,llama_bench_version,model_file,model_name,quant,arch,split,file_bytes,n_params,n_active_params,n_layers,n_kv_heads,head_dim,n_expert,n_expert_used,n_gpu_layers,n_prompt,n_gen,n_depth,n_threads,flash_attn,type_k,type_v,n_batch,n_ubatch,test,avg_ts,stddev_ts,avg_ns,stddev_ns,samples_ts,settle_s,repetitions,backend,error
2026-08-30T01:14:29.257860-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],Qwen3.5-4B-Q8_0.gguf,Qwen3.5-4B-Q8_0,Q8_0,qwen35,,4482403488,4205751296,4205751296,32,4,256,0,0,99,0,128,16384,12,1,f16,f16,2048,512,,63.653912,2.729187,2013853825,86964456,"[67.4074, 59.7293, 63.6832, 64.1066, 63.343]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,512,0,0,12,1,f16,f16,2048,512,,1931.552284,238.292065,268499541,34773244,"[2134, 2132.73, 2036.72, 1728.06, 1626.26]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,0,128,0,12,1,f16,f16,2048,512,,161.227444,3.795544,794260650,18647010,"[163.715, 166.111, 161.259, 157.829, 157.223]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,512,0,4096,12,1,f16,f16,2048,512,,1435.487029,7.396505,356680941,1836469,"[1437.24, 1426.52, 1430.51, 1437.33, 1445.84]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,0,128,4096,12,1,f16,f16,2048,512,,146.944649,4.792275,871829225,28863469,"[150.957, 151.118, 148.662, 143.776, 140.21]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,512,0,16384,12,1,f16,f16,2048,512,,940.003289,38.910621,545394141,21601507,"[1006.74, 942.419, 918.181, 916.067, 916.609]",45.0,5,"BLAS,MTL",
2026-08-30T01:15:53.882848-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q4_K_M.gguf,SmolLM3-Q4_K_M,Q4_K_M,smollm3,,1915305312,3075098624,3075098624,36,4,128,0,0,99,0,128,16384,12,1,f16,f16,2048,512,,113.175111,2.298974,1131369225,23293332,"[115.077, 115.001, 114.007, 112.141, 109.649]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,512,0,0,12,1,f16,f16,2048,512,,2237.131134,0.903069,228864575,93011,"[2237.91, 2235.87, 2236.82, 2236.95, 2238.1]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,0,128,0,12,1,f16,f16,2048,512,,117.388569,0.74684,1090431183,6955811,"[118.228, 117.892, 116.272, 117.268, 117.283]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,512,0,4096,12,1,f16,f16,2048,512,,1634.700904,36.630137,313330100,6859599,"[1697.22, 1635.2, 1608.34, 1609.59, 1623.15]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,0,128,4096,12,1,f16,f16,2048,512,,110.052719,1.129228,1163177600,12018606,"[109.933, 111.062, 110.989, 110.013, 108.267]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,512,0,16384,12,1,f16,f16,2048,512,,935.770677,44.84689,548092258,24772265,"[1015.05, 927.223, 908.67, 914.123, 913.786]",45.0,5,"BLAS,MTL",
2026-08-30T01:17:22.110815-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],SmolLM3-Q8_0.gguf,SmolLM3-Q8_0,Q8_0,smollm3,,3275574624,3075098624,3075098624,36,4,128,0,0,99,0,128,16384,12,1,f16,f16,2048,512,,89.652381,0.684274,1427803349,10904499,"[90.1129, 90.4502, 89.8083, 88.9438, 88.9467]",45.0,5,"BLAS,MTL",
2026-08-30T03:48:20.600754-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],NVIDIA-Nemotron-3-Nano-4B-Q4_K_M.gguf,NVIDIA-Nemotron-3-Nano-4B-Q4_K_M,Q4_K_M,nemotron_h,,2837072896,3973556832,3973556832,42,40,128,0,0,99,512,0,0,12,1,f16,f16,2048,512,,387.43555,105.061994,1440024750,555601353,"[211.773, 407.212, 488.111, 439.981, 390.101]",45.0,5,"BLAS,MTL",
2026-08-30T03:48:20.600754-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],NVIDIA-Nemotron-3-Nano-4B-Q4_K_M.gguf,NVIDIA-Nemotron-3-Nano-4B-Q4_K_M,Q4_K_M,nemotron_h,,2837072896,3973556832,3973556832,42,40,128,0,0,99,0,128,0,12,1,f16,f16,2048,512,,31.640806,3.039159,4073546874,366951425,"[28.8716, 29.7158, 30.5486, 32.5799, 36.4882]",45.0,5,"BLAS,MTL",
2026-08-30T03:48:20.600754-07:00,lun-mac,Darwin-arm64,nogit,usage: /opt/homebrew/bin/llama-bench [options],NVIDIA-Nemotron-3-Nano-4B-Q4_K_M.gguf,NVIDIA-Nemotron-3-Nano-4B-Q4_K_M,Q4_K_M,nemotron_h,,2837072896,3973556832,3973556832,42,40,128,0,0,99,512,0,4096,12,1,f16,f16,2048,512,,523.053947,39.021093,983537208,78407900,"[564.669, 532.856, 536.127, 522.529, 459.089]",45.0,5,"BLAS,MTL",
